AZ,EL,J4,J3,J2,J1
326.3,63.2,0,67.5,112.5,45
326.4,25.6,0,135,225,90
329,43.3,0,112.5,180,67.5
333.3,73.8,0,45,67.5,22.5
333.3,56.1,0,90,135,45
333.4,33.1,0,135,202.5,67.5
336.8,17.9,0,157.5,225,67.5
338.1,47.7,0,112.5,157.5,45
341.4,66.8,0,67.5,90,22.5
341.5,37.8,0,135,180,45
344,24.6,0,157.5,202.5,45
345.9,59,0,90,112.5,22.5
348.6,50.5,0,112.5,135,22.5
350.5,40.6,0,135,157.5,22.5
351.9,27.8,0,157.5,180,22.5
